Hour,Day,Month,State_of_Charge
23,27,11,0.0
24,27,11,0.0
1,28,11,0.0
2,28,11,0.0
3,28,11,0.0
4,28,11,0.0
5,28,11,0.0
6,28,11,0.0
7,28,11,0.0
8,28,11,0.0
9,28,11,90.0
10,28,11,90.0
11,28,11,90.0
12,28,11,90.0
13,28,11,90.0
14,28,11,90.0
15,28,11,90.0
16,28,11,90.0
17,28,11,90.0
18,28,11,0.0
19,28,11,0.0
20,28,11,0.0
21,28,11,0.0
22,28,11,0.0
23,28,11,0.0
24,28,11,0.0
1,29,11,0.0
2,29,11,0.0
3,29,11,0.0
4,29,11,0.0
5,29,11,0.0
6,29,11,0.0
7,29,11,0.0
8,29,11,90.0
9,29,11,90.0
10,29,11,90.0
11,29,11,90.0
12,29,11,90.0
13,29,11,90.0
14,29,11,90.0
15,29,11,90.0
16,29,11,90.0
17,29,11,90.0
18,29,11,0.0
19,29,11,0.0
20,29,11,0.0
21,29,11,0.0
22,29,11,0.0
23,29,11,0.0
24,29,11,0.0
1,30,11,0.0
2,30,11,0.0
3,30,11,0.0
4,30,11,0.0
5,30,11,0.0
6,30,11,0.0
7,30,11,0.0
8,30,11,90.0
9,30,11,180.0
10,30,11,180.0
11,30,11,180.0
12,30,11,180.0
13,30,11,180.0
14,30,11,180.0
15,30,11,180.0
16,30,11,180.0
17,30,11,90.0
18,30,11,0.0
19,30,11,0.0
20,30,11,0.0
21,30,11,0.0
22,30,11,0.0
23,30,11,0.0
24,30,11,0.0
1,1,12,100.0
2,1,12,100.0
3,1,12,100.0
4,1,12,100.0
5,1,12,100.0
6,1,12,100.0
7,1,12,100.0
8,1,12,100.0
9,1,12,190.0
10,1,12,190.0
11,1,12,190.0
12,1,12,190.0
13,1,12,190.0
14,1,12,190.0
15,1,12,190.0
16,1,12,190.0
17,1,12,100.0
18,1,12,10.0
19,1,12,10.0
20,1,12,10.0
21,1,12,10.0
22,1,12,10.0
23,1,12,10.0
24,1,12,10.0
1,2,12,10.0
2,2,12,10.0
3,2,12,10.0
4,2,12,10.0
5,2,12,10.0
6,2,12,0.0
7,2,12,0.0
8,2,12,0.0
9,2,12,90.0
10,2,12,90.0
11,2,12,90.0
12,2,12,90.0
13,2,12,90.0
14,2,12,90.0
15,2,12,90.0
16,2,12,90.0
17,2,12,10.0
18,2,12,10.0
19,2,12,10.0
20,2,12,10.0
21,2,12,10.0
22,2,12,10.0
23,2,12,10.0
24,2,12,10.0
1,3,12,10.0
2,3,12,10.0
3,3,12,10.0
4,3,12,10.0
5,3,12,10.0
6,3,12,10.0
7,3,12,10.0
8,3,12,10.0
9,3,12,100.0
10,3,12,100.0
11,3,12,100.0
12,3,12,100.0
13,3,12,100.0
14,3,12,100.0
15,3,12,100.0
16,3,12,100.0
17,3,12,100.0
18,3,12,10.0
19,3,12,10.0
20,3,12,10.0
21,3,12,10.0
22,3,12,10.0
23,3,12,10.0
24,3,12,10.0
1,4,12,10.0
2,4,12,10.0
3,4,12,10.0
4,4,12,10.0
5,4,12,10.0
6,4,12,10.0
7,4,12,10.0
8,4,12,10.0
9,4,12,100.0
10,4,12,100.0
11,4,12,100.0
12,4,12,100.0
13,4,12,100.0
14,4,12,100.0
15,4,12,100.0
16,4,12,100.0
17,4,12,10.0
18,4,12,10.0
19,4,12,10.0
20,4,12,10.0
21,4,12,10.0
22,4,12,10.0
23,4,12,10.0
24,4,12,10.0
1,5,12,10.0
2,5,12,10.0
3,5,12,10.0
4,5,12,10.0
5,5,12,10.0
6,5,12,10.0
7,5,12,0.0
8,5,12,0.0
9,5,12,10.0
10,5,12,10.0
11,5,12,10.0
12,5,12,10.0
13,5,12,10.0
14,5,12,10.0
15,5,12,10.0
16,5,12,10.0
17,5,12,10.0
18,5,12,10.0
19,5,12,10.0
20,5,12,10.0
21,5,12,10.0
22,5,12,10.0
23,5,12,10.0
24,5,12,10.0
1,6,12,10.0
2,6,12,10.0
3,6,12,10.0
4,6,12,10.0
5,6,12,10.0
6,6,12,10.0
7,6,12,10.0
8,6,12,10.0
9,6,12,100.0
10,6,12,100.0
11,6,12,100.0
12,6,12,100.0
13,6,12,100.0
14,6,12,100.0
15,6,12,100.0
16,6,12,100.0
17,6,12,100.0
18,6,12,10.0
19,6,12,10.0
20,6,12,10.0
21,6,12,10.0
22,6,12,10.0
23,6,12,10.0
24,6,12,10.0
1,7,12,10.0
2,7,12,10.0
3,7,12,10.0
4,7,12,10.0
5,7,12,10.0
6,7,12,10.0
7,7,12,10.0
8,7,12,10.0
9,7,12,100.0
10,7,12,100.0
11,7,12,100.0
12,7,12,100.0
13,7,12,100.0
14,7,12,100.0
15,7,12,100.0
16,7,12,100.0
17,7,12,10.0
18,7,12,10.0
19,7,12,10.0
20,7,12,10.0
21,7,12,10.0
22,7,12,10.0
23,7,12,10.0
24,7,12,10.0
1,8,12,10.0
2,8,12,10.0
3,8,12,10.0
4,8,12,10.0
5,8,12,10.0
6,8,12,10.0
7,8,12,10.0
8,8,12,10.0
9,8,12,100.0
10,8,12,100.0
11,8,12,100.0
12,8,12,100.0
13,8,12,100.0
14,8,12,100.0
15,8,12,100.0
16,8,12,100.0
17,8,12,10.0
18,8,12,10.0
19,8,12,10.0
20,8,12,10.0
21,8,12,10.0
22,8,12,10.0
23,8,12,10.0
24,8,12,10.0
1,9,12,10.0
2,9,12,10.0
3,9,12,10.0
4,9,12,10.0
5,9,12,10.0
6,9,12,10.0
7,9,12,10.0
8,9,12,10.0
9,9,12,100.0
10,9,12,100.0
11,9,12,100.0
12,9,12,100.0
13,9,12,100.0
14,9,12,190.0
15,9,12,190.0
16,9,12,190.0
17,9,12,100.0
18,9,12,10.0
19,9,12,10.0
20,9,12,10.0
21,9,12,10.0
22,9,12,10.0
23,9,12,10.0
24,9,12,10.0
1,10,12,10.0
2,10,12,10.0
3,10,12,10.0
4,10,12,10.0
5,10,12,10.0
6,10,12,10.0
7,10,12,10.0
8,10,12,10.0
9,10,12,100.0
10,10,12,100.0
11,10,12,100.0
12,10,12,100.0
13,10,12,100.0
14,10,12,100.0
15,10,12,100.0
16,10,12,100.0
17,10,12,10.0
18,10,12,10.0
19,10,12,10.0
20,10,12,10.0
21,10,12,10.0
22,10,12,10.0
23,10,12,10.0
24,10,12,10.0
1,11,12,10.0
2,11,12,10.0
3,11,12,10.0
4,11,12,10.0
5,11,12,10.0
6,11,12,10.0
7,11,12,0.0
8,11,12,0.0
9,11,12,10.0
10,11,12,10.0
11,11,12,10.0
12,11,12,10.0
13,11,12,10.0
14,11,12,10.0
15,11,12,10.0
16,11,12,10.0
17,11,12,10.0
18,11,12,10.0
19,11,12,10.0
20,11,12,10.0
21,11,12,10.0
22,11,12,10.0
23,11,12,10.0
24,11,12,10.0
